studlab,TE,seTE,statistic,pval,df,lower,upper,w.common,w.random,zval,level.ci,w.fixed
Liu 2022 (Current study),-0.15599,0.035065,-4.44859546556395,8.64336312122464e-06,NA,-0.224716137117897,-0.087263862882103,813.302886255383,222.835468802641,-4.44859546556395,0.95,813.302886255383
Liu 2022 (Current study),-0.0615269,0.0338015,-1.82024170524977,0.0687222045290633,NA,-0.127776622623431,0.00472282262343062,875.241805706739,227.241579208018,-1.82024170524977,0.95,875.241805706739
