studlab,TE,seTE,statistic,pval,df,lower,upper,w.common,w.random,approx.seTE,zval,level.ci,w.fixed
FinnGen Release 7 (2022),-0.105657770944913,0.147442001747321,-0.716605646239014,0.473617459591701,NA,-0.394638779864652,0.183323246601831,45.9999715515096,17.1710726373118,ci,-0.716605646239014,0.95,45.9999715515096
Jiang 2021,0.420402028137879,0.426562088501103,0.985558818916913,0.324349654643833,NA,-0.415644300748193,1.2564483605165,5.49585785763882,4.57763214695134,ci,0.985558818916913,0.95,5.49585785763882
