studlab,TE,seTE,statistic,pval,df,lower,upper,w.common,w.random,approx.seTE,zval,level.ci,w.fixed
FinnGen Release 7 (2022),-0.0824438313985877,0.245814058748484,-0.335391034257093,0.737330130335001,NA,-0.564230532006563,0.399342872074719,16.5495643001574,16.5495643001574,ci,-0.335391034257093,0.95,16.5495643001574
Jiang 2021,-0.0548155006058857,0.794184627162064,-0.06902110508203,0.944972820132585,NA,-1.6113887641084,1.50175776851763,1.58546641742155,1.58546641742155,ci,-0.06902110508203,0.95,1.58546641742155
FinnGen Release 7 (2022),0.00101081895034651,0.00166909990827843,0.605607216999436,0.544775608798558,NA,-0.00226055312602975,0.0042821982876199,358951.137105365,358951.137105365,ci,0.605607216999436,0.95,358951.137105365
