studlab,TE,seTE,statistic,pval,df,lower,upper,w.common,w.random,approx.seTE,zval,level.ci,w.fixed
FinnGen Release 7 (2022),0.00560894044252705,0.219321136502674,0.0255740989307643,0.979597045370432,NA,-0.424252592835959,0.435470464351311,20.7892597056717,20.7892597056717,ci,0.0255740989307643,0.95,20.7892597056717
Jiang 2021,0.498547711736197,0.743502991880742,0.67053894494101,0.502514288692408,NA,-0.958691367626381,1.95578680534168,1.80898330602454,1.80898330602454,ci,0.67053894494101,0.95,1.80898330602454
