studlab,TE,seTE,statistic,pval,df,lower,upper,w.common,w.random,approx.seTE,zval,level.ci,w.fixed
FinnGen Release 7 (2022),0.00169890604153012,0.163541912971651,0.010388199640447,0.991711564966603,NA,-0.318837357193609,0.322235161580832,37.3888281074466,37.3888281074466,ci,0.010388199640447,0.95,37.3888281074466
Jiang 2021,-0.365276935210403,0.60557434815236,-0.603190898565771,0.546381701692767,NA,-1.55218083679472,0.821626987885169,2.72687392587669,2.72687392587669,ci,-0.603190898565771,0.95,2.72687392587669
FinnGen Release 7 (2022),0.000781024920616904,0.00267621888865712,0.291838953804264,0.770409760213405,NA,-0.00446427004143742,0.00602631523159012,139622.926561393,139622.926561393,ci,0.291838953804264,0.95,139622.926561393
