studlab,TE,seTE,statistic,pval,df,lower,upper,w.common,w.random,approx.seTE,zval,level.ci,w.fixed
FinnGen Release 7 (2022),0.320392250974216,0.31764261110961,1.00865639485522,0.313139451001076,NA,-0.302175827978472,0.942960327481723,9.91111431282639,2.71049553200742,ci,1.00865639485522,0.95,9.91111431282639
Jiang 2021,-1.3494711735818,0.87953687656895,-1.53429743485691,0.124956496518954,NA,-3.07333171842643,0.374389483873558,1.29268257326585,0.960038846021359,ci,-1.53429743485691,0.95,1.29268257326585
FinnGen Release 7 (2022),-0.00445963942586747,0.00885102797667232,-0.503855533800283,0.614362899703383,NA,-0.0218073409925717,0.0128880511282967,12764.7576284935,3.72970470193644,ci,-0.503855533800283,0.95,12764.7576284935
