studlab,TE,seTE,statistic,pval,df,lower,upper,w.common,w.random,approx.seTE,zval,level.ci,w.fixed
Patsopoulos 2020,1.06125650212434,0.280059505298511,3.78939647484261,0.000151013728675404,NA,0.512224644679698,1.61003773250607,12.7496823674489,1.66601292864238,ci,3.78939647484261,0.95,12.7496823674489
UK Biobank,0.00199800266267306,0.00203679108677453,0.980956110642207,0.326614385405028,NA,-0.00200200267067308,0.00598207167754747,241049.940386633,1.91642009030126,ci,0.980956110642207,0.95,241049.940386633
